metric,chapter,pair,n_a,n_b,U,p,r,r_label,direction,median_a,median_b,bonf_sig,degenerate
ROUGE-2,ch4,Form vs Chat,37,39,1087.0,0.00014867577310674314,0.5065835065835065,large,Form > Chat,0.2978723404255319,0.2363636363636363,True,False
ROUGE-2,ch4,Ask vs Chat,37,39,685.5,0.7121708541715541,-0.0498960498960499,negligible,Chat > Ask,0.174863387978142,0.2363636363636363,False,False
ROUGE-2,ch5,Form vs Ask,37,37,1004.0,0.0005601560157749571,0.4667640613586559,medium,Form > Ask,0.1276595744680851,0.0508474576271186,True,False
ROUGE-2,ch5,Form vs Chat,37,39,669.0,0.5889032947483637,-0.07276507276507271,negligible,Chat > Form,0.1276595744680851,0.1481481481481481,False,False
ROUGE-2,ch5,Ask vs Chat,37,39,409.0,0.0011698520441377862,-0.43312543312543317,medium,Chat > Ask,0.0508474576271186,0.1481481481481481,True,False
ROUGE-2,ch6,Form vs Ask,37,37,753.0,0.4622505684034601,0.10007304601899203,small,Form > Ask,0.1166666666666666,0.1146496815286624,False,False
ROUGE-2,ch6,Form vs Chat,37,39,511.0,0.02907782244129938,-0.2917532917532918,small,Chat > Form,0.1166666666666666,0.1830985915492957,False,False
ROUGE-2,ch6,Ask vs Chat,37,39,507.0,0.02614844731944357,-0.29729729729729726,small,Chat > Ask,0.1146496815286624,0.1830985915492957,False,False
ROUGE-L,ch1,Form vs Ask,37,37,464.0,0.017381497447256578,-0.32213294375456536,medium,Ask > Form,0.4941176470588235,0.5862068965517242,False,False
ROUGE-L,ch1,Form vs Chat,37,39,729.5,0.9378696927410859,0.011088011088011163,negligible,Form > Chat,0.4941176470588235,0.5081967213114754,False,False
ROUGE-L,ch1,Ask vs Chat,37,39,986.0,0.006075081944948821,0.3665973665973665,medium,Ask > Chat,0.5862068965517242,0.5081967213114754,True,False
ROUGE-L,ch2,Form vs Ask,37,37,1097.0,8.42379723980254e-06,0.6026296566837108,large,Form > Ask,0.3853211009174312,0.3071428571428571,True,False
ROUGE-L,ch2,Form vs Chat,37,39,886.5,0.08734324383223781,0.2286902286902286,small,Form > Chat,0.3853211009174312,0.3547169811320755,False,False
ROUGE-L,ch2,Ask vs Chat,37,39,555.0,0.0844988505143882,-0.23076923076923073,small,Chat > Ask,0.3071428571428571,0.3547169811320755,False,False
ROUGE-L,ch3,Form vs Ask,37,37,1351.0,6.016549030058389e-13,0.9737034331628927,large,Form > Ask,0.5691056910569106,0.3272727272727272,True,False
ROUGE-L,ch3,Form vs Chat,37,39,1095.0,0.00010599696317698808,0.5176715176715176,large,Form > Chat,0.5691056910569106,0.3910614525139664,True,False
ROUGE-L,ch3,Ask vs Chat,37,39,528.0,0.04488072036664326,-0.26819126819126815,small,Chat > Ask,0.3272727272727272,0.3910614525139664,False,False
ROUGE-L,ch4,Form vs Ask,37,37,984.0,0.001227205955717202,0.43754565376187005,medium,Form > Ask,0.4161073825503356,0.2955665024630541,True,False
ROUGE-L,ch4,Form vs Chat,37,39,973.0,0.009091486876647514,0.34857934857934847,medium,Form > Chat,0.4161073825503356,0.3648648648648648,True,False
ROUGE-L,ch4,Ask vs Chat,37,39,620.5,0.29626799412139226,-0.13998613998613996,small,Chat > Ask,0.2955665024630541,0.3648648648648648,False,False
ROUGE-L,ch5,Form vs Ask,37,37,933.5,0.00721906714885981,0.36376917457998537,medium,Form > Ask,0.2178217821782178,0.1470588235294117,True,False
ROUGE-L,ch5,Form vs Chat,37,39,543.5,0.0650777998737406,-0.24670824670824676,small,Chat > Form,0.2178217821782178,0.2539682539682539,False,False
ROUGE-L,ch5,Ask vs Chat,37,39,397.0,0.0007591644031784936,-0.4497574497574498,medium,Chat > Ask,0.1470588235294117,0.2539682539682539,True,False
ROUGE-L,ch6,Form vs Ask,37,37,701.5,0.8584227167229281,0.0248356464572681,negligible,Form > Ask,0.1658536585365853,0.1940298507462686,False,False
ROUGE-L,ch6,Form vs Chat,37,39,471.5,0.009515598093867308,-0.34650034650034645,medium,Chat > Form,0.1658536585365853,0.2684563758389262,True,False
ROUGE-L,ch6,Ask vs Chat,37,39,518.5,0.03533482642207903,-0.28135828135828134,small,Chat > Ask,0.1940298507462686,0.2684563758389262,False,False
METEOR,ch1,Form vs Ask,37,37,518.0,0.07271407756244383,-0.2432432432432432,small,Ask > Form,0.4488625516712055,0.5020778448202602,False,False
METEOR,ch1,Form vs Chat,37,39,718.5,0.9792721059165368,-0.004158004158004158,negligible,Chat > Form,0.4488625516712055,0.4451391147404372,False,False
METEOR,ch1,Ask vs Chat,37,39,899.0,0.06584511691748648,0.24601524601524605,small,Ask > Chat,0.5020778448202602,0.4451391147404372,False,False
METEOR,ch2,Form vs Ask,37,37,1062.0,4.5869028283342774e-05,0.5514974433893354,large,Form > Ask,0.4361065045144648,0.3762328952716435,True,False
METEOR,ch2,Form vs Chat,37,39,875.0,0.11182217324508133,0.21275121275121278,small,Form > Chat,0.4361065045144648,0.4193302322098781,False,False
METEOR,ch2,Ask vs Chat,37,39,526.0,0.04270927181252227,-0.270963270963271,small,Chat > Ask,0.3762328952716435,0.4193302322098781,False,False
METEOR,ch3,Form vs Ask,37,37,1202.0,2.2802359112864473e-08,0.7560262965668372,large,Form > Ask,0.4155330490097696,0.3131376934235976,True,False
METEOR,ch3,Form vs Chat,37,39,1295.0,2.6020581626260533e-09,0.7948717948717949,large,Form > Chat,0.4155330490097696,0.2708627292884499,True,False
METEOR,ch3,Ask vs Chat,37,39,864.0,0.14001416333412497,0.19750519750519757,small,Ask > Chat,0.3131376934235976,0.2708627292884499,False,False
METEOR,ch4,Form vs Ask,37,37,1123.0,2.1883351157160743e-06,0.6406135865595326,large,Form > Ask,0.4191043385680063,0.2997641509433962,True,False
METEOR,ch4,Form vs Chat,37,39,1228.0,1.4517142166736176e-07,0.702009702009702,large,Form > Chat,0.4191043385680063,0.32866914816908,True,False
METEOR,ch4,Ask vs Chat,37,39,682.0,0.685252866853924,-0.05474705474705477,negligible,Chat > Ask,0.2997641509433962,0.32866914816908,False,False
METEOR,ch5,Form vs Ask,37,37,998.0,0.0007148123353227475,0.4579985390796202,medium,Form > Ask,0.331400003905716,0.2090460526315789,True,False
METEOR,ch5,Form vs Chat,37,39,715.0,0.950280358787428,-0.009009009009009028,negligible,Chat > Form,0.331400003905716,0.3251591435185185,False,False
METEOR,ch5,Ask vs Chat,37,39,400.5,0.0008659565422212885,-0.44490644490644493,medium,Chat > Ask,0.2090460526315789,0.3251591435185185,True,False
METEOR,ch6,Form vs Ask,37,37,753.0,0.4622505684034601,0.10007304601899203,small,Form > Ask,0.2602710006706192,0.2435661949212084,False,False
METEOR,ch6,Form vs Chat,37,39,594.0,0.18688495707084318,-0.17671517671517667,small,Chat > Form,0.2602710006706192,0.3154594167685887,False,False
METEOR,ch6,Ask vs Chat,37,39,542.0,0.06284851736836229,-0.24878724878724878,small,Chat > Ask,0.2435661949212084,0.3154594167685887,False,False
BERTScore_Precision,ch1,Form vs Ask,37,37,538.0,0.11447334260713284,-0.21402483564645725,small,Ask > Form,0.8525105118751526,0.8627491593360901,False,False
BERTScore_Precision,ch1,Form vs Chat,37,39,766.5,0.6437439945640882,0.06237006237006226,negligible,Form > Chat,0.8525105118751526,0.8512099385261536,False,False
BERTScore_Precision,ch1,Ask vs Chat,37,39,909.0,0.051967626435455584,0.25987525987525983,small,Ask > Chat,0.8627491593360901,0.8512099385261536,False,False
